NAME,,,,
Acer Veriton 5100,ACER,VERITON,5100,
Apple eMac,EMAC,,,
Apple iMac 20in 2.0Ghz 1GB/250GB/SD,XXXXX,,,
Apple iMac 21 2.9GHz 8GB/1TB/ATA,XXXXX,,,
Apple iMac 21.5in 2.8GHz QC/8GB/1TB,XXXXX,,,
Comdek/EDSys/Apple Generic,XXXXX,,,
Cybernet iOne GX31,XXXXX,,,
Dell Dimension Series,,,,
Dell OptiPlex 170L SFF,OPTIPLEX,170L,,
Dell OptiPlex 210L SFF,OPTIPLEX,210L,,
Dell OptiPlex 3010,OPTIPLEX,3010,,
Dell OptiPlex 3010 SFF,OPTIPLEX,3010,"small form factor,small form,sff",small form
Dell OptiPlex 3020 SFF,OPTIPLEX,3020,"small form factor,small form,sff",
Dell OptiPlex 3040 SFF,OPTIPLEX,3040,"small form factor,small form,sff",
Dell OptiPlex 380 SFF,OPTIPLEX,380,"small form factor,small form,sff",
Dell OptiPlex 390 SFF,OPTIPLEX,390,"small form factor,small form,sff",
Dell OptiPlex 7010 Desktop,OPTIPLEX,7010,,
Dell OptiPlex 7010 SFF,OPTIPLEX,7010,"small form factor,small form,sff",
Dell OptiPlex 7040 MFF,OPTIPLEX,7040,"medium form factor,medium form,mff",
Dell OptiPlex 7040 SFF,OPTIPLEX,7040,"small form factor,small form,sff",
Dell OptiPlex 7050 Micro,OPTIPLEX,7050,micro,
Dell OptiPlex 745,OPTIPLEX,745,,
Dell OptiPlex 745 SFF,OPTIPLEX,745,"small form factor,small form,sff",
Dell OptiPlex 755,OPTIPLEX,755,,
Dell OptiPlex 755 SFF,OPTIPLEX,755,"small form factor,small form,sff",
Dell OptiPlex 760,OPTIPLEX,760,,
Dell OptiPlex 760 SFF,OPTIPLEX,760,"small form factor,small form,sff",
Dell OptiPlex 760SF SFF,OPTIPLEX,"760sf,760 sf,760 s f","small form factor,small form,sff",
Dell OptiPlex 780 SFF,OPTIPLEX,780,"small form factor,small form,sff",
Dell OptiPlex 780 USFF,OPTIPLEX,780,"ultra small,usff",
Dell OptiPlex 790,OPTIPLEX,790,,
Dell OptiPlex 790 SFF,OPTIPLEX,790,"small form factor,small form,sff",
Dell OptiPlex 790 USFF,OPTIPLEX,790,"ultra small,usff",
Dell OptiPlex 9010 SFF,OPTIPLEX,9010,"small form factor,small form,sff",
Dell OptiPlex 9020 AIO,OPTIPLEX,9020,"aio,all-in-one,allinone,all in one",
Dell OptiPlex 9020 Micro PC,OPTIPLEX,9020,micro,
Dell OptiPlex 9020 Mini Tower,OPTIPLEX,9020,"mini,mini tower",
Dell OptiPlex 9020 SFF,OPTIPLEX,9020,"small form factor,small form,sff",
Dell OptiPlex 9020 USFF,OPTIPLEX,9020,"ultra small,usff",
Dell OptiPlex 9030 AIO,OPTIPLEX,9030,"aio,all-in-one,allinone,all in one",
Dell OptiPlex 9030 AIO BTX,OPTIPLEX,9030,"aio,all-in-one,allinone,all in one","btx,balanced tech,balanced technology extended"
Dell OptiPlex 960 SFF,OPTIPLEX,960,"small form factor,small form,sff",
Dell OptiPlex 980 SFF,OPTIPLEX,980,"small form factor,small form,sff",
Dell OptiPlex GX1 Mini Tower,OPTIPLEX,"gx1,gx 1","mini,mini tower",
Dell OptiPlex GX110 SFF,OPTIPLEX,"GX110,GX 110","small form factor,small form,sff",
Dell OptiPlex GX150 SFF,OPTIPLEX,"gx150,gx 150","small form factor,small form,sff",
Dell OptiPlex GX240 SFF,OPTIPLEX,"gx240,gx 240","small form factor,small form,sff",
Dell OptiPlex GX260 SFF,OPTIPLEX,"gx260,gx 260","small form factor,small form,sff",
Dell OptiPlex GX270 Mini Tower,OPTIPLEX,"gx270,gx 270","mini,mini tower",
Dell OptiPlex GX270 SFF,OPTIPLEX,"gx270,gx 270","small form factor,small form,sff",
Dell OptiPlex GX280 USFF,OPTIPLEX,"gx280,gx 280","ultra small,usff",
Dell OptiPlex GX520 SFF,OPTIPLEX,"gx520,gx 520","small form factor,small form,sff",
Dell OptiPlex GX60 SFF,OPTIPLEX,"gx60,gx 60","small form factor,small form,sff",
Dell OptiPlex GX620,OPTIPLEX,"gx620,gx 620",,
Dell OptiPlex GX620 USFF,OPTIPLEX,"gx620,gx 620","ultra small,usff",
Dell OptiPlex SX280 USFF,OPTIPLEX,"sx280,sx 280","ultra small,usff",
Dell Precision 360 Tower,precision,360,,
Dell Precision 380 Tower,precision,380,,
Dell Precision 390 Tower,precision,390,,
Dell Precision 490 Tower,precision,490,,
Dell Precision 670 Tower,precision,670,,
Dell Precision 690 Tower,precision,690,,
Dell Precision PWS390 Tower,precision,"PWS390,PWS 390",,
Dell Precision T3400 Tower,precision,"T3400,T 3400",,
Dell Precision T3500 Tower,precision,"T3500,T 3500",,
Dell Precision T3600 Tower,precision,"T3600,T 3600",,
Dell Precision T3610 Tower,precision,"T3610,T 3610",,
Dell Precision T5400 Tower,precision,"T5400,T 5400",,
Dell Precision T5810 Tower,precision,"T5810,T 5810",,
Dell Precision T7400 Tower,precision,"T7400,T 7400",,
Dell Precision T7500 Tower,precision,"T7500,T 7500",,
Dell Precision T7600 Tower,precision,"T7600,T 7600",,
Dell Precision T7810 Tower,precision,"T7810,T 7810",,
Dell Precision T7910 Tower,precision,"T7910,T 7910",,
HP D510 CMT,,,,
HP D510 SFF,,,,
HP D530 CMT,,,,
HP DC7100 USDT,,,,
HP DC7600 CMT,,,,
HP DC7600 SFF,,,,
HP DC7600 SFF 2GB,,,,
HP DC7600 SFF P4,,,,
HP DC7600 SFF PD820,,,,
HP DC7700 CMT,,,,
HP DC7700 CMT ATI,,,,
HP DC7700 CMT DVD RW,,,,
HP DC7700 SFF,,,,
HP DC7700 SFF 1GB,,,,
HP DC7700 SFF 2GB,,,,
HP DC7700 SFF Celeron 420,,,,
HP DC7700 SFF PD915,,,,
HP DC7800 CMT E6550,,,,
HP DC7800 SFF,,,,
HP DC7800 SFF Celeron 440,,,,
HP DC7800 SFF Core 2 Duo 4GB,,,,
HP DC7800 SFF E4600,,,,
HP DC7800 SFF E6550,,,,
HP DC7800 USDT,,,,
HP DC7900 CMT E8400,,,,
HP DC7900 CMT WIN 7-XP 4GB DVDRW,,,,
HP DC7900 SFF,,,,
HP DC7900 SFF E7300,,,,
HP DC7900 SFF E8400,,,,
HP DC7900 SFF E8400 Special Build,,,,
HP DC7900 SFF E8400 WIN 7-XP 4GB DVDRW,,,,
HP DC8100 USDT,,,,
HP DX7200 Micro Tower,,,,
HP EliteDesk 800 G1 SFF,,,,
HP EliteDesk 800 Mini HDD,,,,
HP EliteDesk 800 Mini SSD,,,,
HP EliteDesk 800 SFF,,,,
HP EliteDesk 8000 CMT,,,,
HP EliteDesk 8000 SFF,,,,
HP EliteDesk 8000 USDT,,,,
HP EliteDesk 8200 CMT,,,,
HP EliteDesk 8200 SFF,,,,
HP EliteDesk 8300 AIO,,,,
HP EliteDesk 8300 SFF,,,,
HP EliteOne 800 AIO,,,,
HP T5540 Thin Client,,,,
HP XW4300 Tower,,,,
HP XW4400 Tower,,,,
HP xw4600 Tower,,,,
HP XW6200 Tower,,,,
HP XW6400 Tower,,,,
HP XW6600 Tower,,,,
HP Z420 Tower,,,,
HP Z440 Tower,,,,
HP Z600 Tower,,,,
HP Z620 Tower,,,,
IBM IntelliStation M Pro,,,,
IBM NetVista,,,,
IBM NetVista 6826-22M,,,,
IBM NetVista 8319-41M,,,,
IBM ThinkCentre,,,,
IBM ThinkCentre A50,,,,
IBM ThinkCentre A52,,,,
IBM ThinkCentre A61,,,,
IBM ThinkCentre M52,,,,
IBM ThinkCentre M55,,,,
IBM ThinkCentre S50,,,,
IBM ThinkCentre S51,,,,
IBM Wyse 3150 SE Thin Client,,,,
Lenovo ThinkCentre M57,,,,
Lenovo ThinkCentre M58,,,,
Lenovo ThinkCentre M600 Tiny,,,,
Lenovo ThinkCentre M700 SFF,,,,
Lenovo ThinkCentre M700 Tiny,,,,
Lenovo ThinkCentre M710q Tiny,,,,
Lenovo ThinkCentre M710s SFF,,,,
Lenovo ThinkCentre M73,,,,
Lenovo ThinkCentre M73 Tiny,,,,
Micro-Star International MS7360,,,,
Apple iMac 21.5 2.5GHz/2x2GB/500GB/6750M,,,,
Apple iMac 21.5 2.7GHz i5/8GB/1TB,,,,
Apple MacBook Air 11in,,,,
Apple MacBook Air 13.3in,,,,
Apple Macbook Pro 13,,,,
Apple MacBook Pro 13 with Touch Bar,,,,
Apple MacBook Pro 15 with Touch Bar,,,,
Apple MacBook Pro 15in,,,,
Apple MacBook Pro 15in Retina,,,,
Dell Inspiron 15 3542,,,,
Dell Inspiron 17 5000 Series,,,,
Dell Inspiron M102z,,,,
Dell Latitude,,,,
Dell Latitude 13 7000,,,,
Dell Latitude 5285,,,,
Dell Latitude 5580,,,,
Dell Latitude 7280,,,,
Dell Latitude 7480,,,,
Dell Latitude C610,,,,
Dell Latitude D430,,,,
Dell Latitude D505,,,,
Dell Latitude D510,,,,
Dell Latitude D520,,,,
Dell Latitude D600,,,,
Dell Latitude D610,,,,
Dell Latitude D620,,,,
Dell Latitude D630,,,,
Dell Latitude D830,,,,
Dell Latitude E4300,,,,
Dell Latitude E4310,,,,
Dell Latitude E5250,,,,
Dell Latitude E5285,,,,
Dell Latitude E5410,,,,
Dell Latitude E5420,,,,
Dell Latitude E5430,,,,
Dell Latitude E5440,,,,
Dell Latitude E5450,,,,
Dell Latitude E5470,,,,
Dell Latitude E5500,,,,
Dell Latitude E5510,,,,
Dell Latitude E5520,,,,
Dell Latitude E5530,,,,
Dell Latitude E5540,,,,
Dell Latitude E5550,,,,
Dell Latitude E5570,,,,
Dell Latitude E6320,,,,
Dell Latitude E6330,,,,
Dell Latitude E6400,,,,
Dell Latitude E6410,,,,
Dell Latitude E6420,,,,
Dell Latitude E6430,,,,
Dell Latitude E6430s,,,,
Dell Latitude E6430u Ultrabook,,,,
Dell Latitude E6500,,,,
Dell Latitude E6510,,,,
Dell Latitude E6520,,,,
Dell Latitude E6530,,,,
Dell Latitude E6540,,,,
Dell Latitude E7240,,,,
Dell Latitude E7250,,,,
Dell Latitude E7270,,,,
Dell Latitude E7275,,,,
Dell Latitude E7440,,,,
Dell Latitude E7450,,,,
Dell Latitude E7470,,,,
Dell Latitude XT2,,,,
Dell Lattidude E6430s,,,,
Dell Precision 5520,,,,
Dell Precision M3800,,,,
Dell Studio XPS 16,,,,
Dell Vostro 1540,,,,
Dell Vostro 2520,,,,
Dell XPS 13 Ultrabook,,,,
Dell XPS 15,,,,
Dell XPS L321X,,,,
Dell XPS M1330,,,,
HP 2133 Mini-Note,,,,
HP Compaq 2510p,,,,
HP Compaq 6730b,,,,
HP Compaq 6910p,,,,
HP Compaq NC440 T2400,,,,
HP Compaq NC6400,,,,
HP Compaq NC8430,,,,
HP Compaq NW9440,,,,
HP Compaq NX6320,,,,
HP EliteBook 2530p,,,,
HP EliteBook 2540p,,,,
HP EliteBook 2560p,,,,
HP EliteBook 6930b,,,,
HP EliteBook 6930p,,,,
HP EliteBook 8440p,,,,
HP EliteBook 8460p,,,,
HP EliteBook Folio 9470M i5 Ultrabook,,,,
HP EliteBook Folio 9470M i7 Ultrabook,,,,
HP EliteBook Folio 9480m i5 Ultrabook,,,,
HP ProBook 650,,,,
HP ProBook 6550b,,,,
HP ProBook 6560b,,,,
HP ProBook 6570b,,,,
HP Spectre 13 Pro i5 Ultrabook,,,,
HP Spectre XT Pro i5 Ultrabook,,,,
HP Spectre XT Pro i7 Ultrabook,,,,
IBM ThinkPad T43 2668-84M,,,,
Lenovo ThinkPad L450,,,,
Lenovo ThinkPad L540,,,,
Lenovo ThinkPad T450,,,,
Lenovo ThinkPad T460s,,,,
Lenovo ThinkPad T470p,,,,
Lenovo ThinkPad T470s,,,,
"Lenovo ThinkPad X1 Carbon 14"" Ultrabook",,,,
Lenovo ThinkPad X250,,,,
Lenovo ThinkPad Yoga 260,,,,
Lenovo ThinkPad Yoga 370,,,,
Microsoft Surface Book 1TB i7 16GB,,,,
MSI Wind U210-098AU,,,,
Sony Vaio VGN-SZ483N,,,,
Toshiba Portege R830,,,,
Toshiba Satellite A10,,,,
Toshiba Tecra A2,,,,
Toshiba Tecra A3,,,,
Toshiba Tecra A3X,,,,
Toshiba Tecra A6,,,,
Toshiba Tecra A8,,,,
Toshiba Tecra A9,,,,
Toshiba Tecra A9 T7100,,,,
Toshiba Tecra A9 T7300,,,,
Toshiba Tecra A9 T7500,,,,
Toshiba Tecra M2,,,,
Toshiba Tecra P4,,,,
Toshiba Tecra P5,,,,
Toshiba Tecra S1,,,,
Toshiba Tecra S2,,,,
Toshiba Tecra S3,,,,
Server,,,,
Barracude Load Balancer 340,,,,
BlueCoat SG600-10 Proxy,,,,
BlueCoat SG900-20 Proxy,,,,
Dell PowerEdge 1750 Rack Mount,,,,
Dell PowerEdge 1850 Rack Mount,,,,
Dell PowerEdge 1950 Rack Mount,,,,
Dell PowerEdge 2650 Rack Mount,,,,
Dell PowerEdge 2950 Rack Mount,,,,
Dell PowerEdge 2970 Rack Mount,,,,
Dell PowerEdge 4400 Rack Mount,,,,
Dell PowerEdge M1000e Blade,,,,
Dell PowerEdge M610 Blade,,,,
Dell PowerEdge M630 Blade,,,,
Dell PowerEdge M710 Blade,,,,
Dell PowerEdge M710HD Blade,,,,
Dell PowerEdge R200 Rack Mount,,,,
Dell PowerEdge R220 Rack Mount,,,,
Dell PowerEdge R230 Rack Mount,,,,
Dell PowerEdge R2850 Rack Mount,,,,
Dell PowerEdge R300 Rack Mount,,,,
Dell PowerEdge R310 Rack Mount,,,,
Dell PowerEdge R320 Rack Mount,,,,
Dell PowerEdge R410 Rack Mount,,,,
Dell PowerEdge R430 Rack Mount,,,,
Dell PowerEdge R510 Rack Mount,,,,
Dell PowerEdge R520 Rack Mount,,,,
Dell PowerEdge R610 Rack Mount,,,,
Dell PowerEdge R620 Rack Mount,,,,
Dell PowerEdge R630 Rack Mount,,,,
Dell PowerEdge R710 Rack Mount,,,,
Dell PowerEdge R720 Rack Mount,,,,
Dell PowerEdge R720xd Rack Mount,,,,
Dell PowerEdge R730xd Rack Mount,,,,
Dell PowerEdge R900 Rack Mount,,,,
Dell PowerEdge SC440 Rack Mount,,,,
Dell PowerEdge T105 Tower,,,,
Dell PowerEdge T110 Tower,,,,
Dell PowerEdge T310 Tower,,,,
Dell PowerEdge T320 Tower,,,,
Dell PowerEdge T430 Tower,,,,
Dell PowerEdge T610 Tower,,,,
Dell PowerEdge T620 Tower,,,,
Dell PowerEdge T630 Tower,,,,
Dell PowerEdge T710 Tower,,,,
Dell PowerEdge VRTX Rack Chassis,,,,
Digital Prioris HX5133 Tower,,,,
HP AlphaServer ES47 Tower,,,,
HP NetServer LH III,,,,
HP ProLiant DL120 G5 Rack Mount,,,,
HP ProLiant DL120 G6 Rack Mount,,,,
HP ProLiant DL120 G7 Rack Mount,,,,
HP ProLiant DL120 R05 Rack Mount,,,,
HP ProLiant DL140 Rack Mount,,,,
HP ProLiant DL160 G6 Rack Mount,,,,
HP ProLiant DL180GS Rack Mount,,,,
HP ProLiant DL320 Rack Mount,,,,
HP ProLiant DL360 Rack Mount,,,,
HP ProLiant DL380 Rack Mount,,,,
HP ProLiant DL390 Rack Mount,,,,
HP ProLiant ML110 Tower,,,,
HP ProLiant ML150 G6 Tower,,,,
HP ProLiant ML350 Tower SAS Array,,,,
HP ProLiant ML370 Tower,,,,
IBM eServer xSeries 205 Tower,,,,
IBM eServer xSeries 232 Tower,,,,
IBM eServer xSeries 235 Tower,,,,
IBM eServer xSeries 305 Tower,,,,
IBM eServer xSeries 306 Rack Mount,,,,
IBM eServer xSeries 335 Rack Mount,,,,
IBM eServer xSeries 342 Rack Mount,,,,
IBM eServer xSeries 345 Rack Mount,,,,
IBM eServer xSeries 346 Rack Mount,,,,
IBM Netfinity 5100 Tower,,,,
IBM P570 Power 6 AIX,,,,
IBM P615 Power 4 AIX,,,,
IBM Power 710 Express,,,,
IBM pSeries Hardware Management Console,,,,
IBM System x3650 Rack Mount,,,,
SonicWALL SRA EX-Virtual Aventail,,,,
SonicWALL SRA EX-Virtual Aventail Applia,,,,
Unitronix Brandywine NTV-100RG NTD,,,,
Virtual Server,,,,
X1010 Web Application Firewall,,,,
Apple iPad 4 Retina 3G WIFI,,,,
Apple iPad 4 Retina WIFI,,,,
Asus Nexus 7 WiFi 16GB,,,,
Dell Latitude 10 Tablet,,,,
Dell Venue 11 Pro,,,,
HP ElitePad 1000,,,,
iPad 2 Wi-Fi Only,,,,
iPad 3 4th Generation Wi-Fi & 4G,,,,
iPad 3rd Gen Wi-Fi and 4G,,,,
iPad 4 Retina 16GB 4G White,,,,
iPad Air 2 WiFi 16GB Space Gray,,,,
iPad Air 2 WiFi Cellular 128GB Silver,,,,
iPad Air 2 WiFi Cellular 16GB Space Grey,,,,
iPad Air 2 Wi-Fi Cellular 64GB Gold,,,,
iPad Air 2 WiFi Cellular 64GB Silver,,,,
iPad Air 2 WiFi Cellular 64GB Space Grey,,,,
iPad Air 2 Wi-Fi Cellular 64GB White,,,,
iPad Air WiFi 16GB Silver,,,,
iPad Air WiFi Cellular 32GB Rose Gold,,,,
iPad Air WiFi Cellular 32GB Silver,,,,
iPad Air WiFi Cellular 64GB Silver,,,,
iPad Air WiFi Celluler 128GB Silver,,,,
iPad Mini WiFi Cellular 16GB Silver,,,,
iPad Mini WiFi Cellular 16GB Space Grey,,,,
iPad Mini WiFi Cellular 32GB Silver,,,,
iPad Pro WiFi 128GB Space Grey,,,,
iPad Pro WiFi 256GB Silver,,,,
iPad Pro WiFi 32GB Silver,,,,
iPad Pro WiFi 32GB Space Grey,,,,
iPad WiFi 32GB Space Grey,,,,
iPad WiFi Cellular 128GB Black 4th Gen,,,,
iPad WiFi Cellular 128GB Silver,,,,
iPad WiFi Cellular 32GB Black 4th Gen,,,,
Lenovo Miix 700 WiFi 256GB,,,,
Lenovo ThinkPad 10 WiFi 128GB,,,,
Lenovo ThinkPad 10 WiFi 64GB,,,,
Microsoft Surface 3 128GB,,,,
Microsoft Surface Pro 3 i5 128GB,,,,
Microsoft Surface Pro 3 i5 256GB,,,,
Microsoft Surface Pro 3 i7 512GB,,,,
Microsoft Surface Pro 4 i7 256GB,,,,
Microsoft Surface Pro 4 i7 512GB,,,,
Samsung Galaxy Tab A 9.7 WIFI,,,,
Wacom Intuos Art Pen and Touch Tablet,,,,
